Date,Open,High,Low,Close,Adj Close,Volume
2023-01-03,146.479996,149.199997,135.339996,135.500000,135.500000,4442000
2023-01-04,137.279999,137.600006,128.580002,130.440002,130.440002,6672900
2023-01-05,129.300003,129.490005,121.040001,121.559998,121.559998,8231800
2023-01-06,122.089996,126.070000,119.269997,124.059998,124.059998,5827400
2023-01-09,127.230003,137.639999,126.669998,134.429993,134.429993,8192900
2023-01-10,134.860001,138.449997,133.740005,137.940002,137.940002,4518400
2023-01-11,138.199997,141.065002,136.550003,139.710007,139.710007,4290300
2023-01-12,140.389999,142.160004,135.100006,142.139999,142.139999,3810000
2023-01-13,139.300003,141.770004,137.309998,140.869995,140.869995,4919300
2023-01-17,141.149994,147.320007,139.460007,145.720001,145.720001,4607400
2023-01-18,147.449997,148.570007,140.039993,140.110001,140.110001,4337000
2023-01-19,137.500000,140.550003,135.080002,135.240005,135.240005,4916400
2023-01-20,136.449997,145.080994,135.320007,144.820007,144.820007,4714200
2023-01-23,146.500000,150.919998,144.740005,150.300003,150.300003,4562700
2023-01-24,148.130005,152.759995,145.259995,145.789993,145.789993,4086100
2023-01-25,138.270004,144.929993,134.339996,144.440002,144.440002,7460100
2023-01-26,148.669998,152.492996,144.759995,152.449997,152.449997,4450200
2023-01-27,150.589996,161.320007,150.380005,159.360001,159.360001,11486800
2023-01-30,156.779999,159.729996,152.809998,152.919998,152.919998,4239500
2023-01-31,153.770004,157.250000,151.210007,156.440002,156.440002,5216200
2023-02-01,158.589996,166.830002,155.440002,165.220001,165.220001,5056100
2023-02-02,173.839996,178.699997,170.259995,178.050003,178.050003,8578200
2023-02-03,168.000000,175.490005,163.000000,163.289993,163.289993,7312900
2023-02-06,159.740005,163.520004,156.789993,158.070007,158.070007,5708700
2023-02-07,157.929993,161.500000,154.414993,160.770004,160.770004,5343200
2023-02-08,161.259995,165.000000,158.044998,159.059998,159.059998,3845300
2023-02-09,161.940002,166.720001,161.270004,162.679993,162.679993,4534100
2023-02-10,159.660004,162.009995,154.729996,157.330002,157.330002,4156600
2023-02-13,158.500000,165.059998,157.050003,161.960007,161.960007,3615700
2023-02-14,159.970001,171.940002,158.240005,171.020004,171.020004,4994800
2023-02-15,171.399994,175.949997,170.070007,175.279999,175.279999,4437200
2023-02-16,171.000000,172.720001,163.919998,164.399994,164.399994,4784600
2023-02-17,160.500000,160.770004,151.550003,154.080002,154.080002,7951500
2023-02-21,150.600006,155.000000,150.080002,151.259995,151.259995,3411000
2023-02-22,149.500000,155.380005,149.500000,150.660004,150.660004,4101900
2023-02-23,153.500000,154.089996,147.750000,153.119995,153.119995,4105800
2023-02-24,149.850006,150.750000,145.279999,148.440002,148.440002,3791700
2023-02-27,150.199997,154.699997,148.580002,154.649994,154.649994,4500000
2023-02-28,154.679993,155.720001,152.929993,154.380005,154.380005,4395000
2023-03-01,154.220001,156.649994,153.000000,154.500000,154.500000,8186400
2023-03-02,139.039993,140.149994,131.119995,135.279999,135.279999,25842200
2023-03-03,135.509995,143.330002,135.500000,142.110001,142.110001,9894400
2023-03-06,142.649994,146.740005,140.848007,142.070007,142.070007,5419200
2023-03-07,141.000000,146.190002,140.100006,142.449997,142.449997,4371900
2023-03-08,140.225006,144.380005,139.289993,142.649994,142.649994,3831700
2023-03-09,141.380005,144.100006,136.050003,136.300003,136.300003,5078200
2023-03-10,135.020004,135.787003,128.559998,131.460007,131.460007,8882300
2023-03-13,129.979996,140.460007,128.759995,137.729996,137.729996,7589600
2023-03-14,138.639999,140.080002,134.880005,139.820007,139.820007,6550400
2023-03-15,136.279999,140.169998,135.300003,139.580002,139.580002,4008200
2023-03-16,140.000000,142.440002,137.399994,138.919998,138.919998,4668300
2023-03-17,138.639999,139.440002,133.559998,135.619995,135.619995,5409600
2023-03-20,133.809998,135.580002,131.619995,135.470001,135.470001,3577400
2023-03-21,136.970001,142.289993,135.309998,141.470001,141.470001,4402300
2023-03-22,141.199997,142.800003,135.475006,135.630005,135.630005,4525700
2023-03-23,137.990005,141.100998,135.026001,140.570007,140.570007,6318800
2023-03-24,139.300003,141.979004,135.550003,136.529999,136.529999,3653200
2023-03-27,136.490005,137.869995,134.399994,134.970001,134.970001,3940400
2023-03-28,136.000000,136.720001,134.169998,134.809998,134.809998,2692700
2023-03-29,136.259995,138.600006,135.600006,137.460007,137.460007,4051100
2023-03-30,139.990005,145.330002,138.759995,142.110001,142.110001,5171900
2023-03-31,142.809998,154.440002,141.830002,154.289993,154.289993,8611600
2023-04-03,152.779999,154.250000,148.720001,150.000000,150.000000,4290100
2023-04-04,151.000000,158.000000,150.750000,155.429993,155.429993,9213700
2023-04-05,154.830002,156.039993,144.139999,146.479996,146.479996,5422100
2023-04-06,144.589996,146.059998,140.880005,145.679993,145.679993,3326900
2023-04-10,143.339996,147.990005,141.600006,147.770004,147.770004,3484900
2023-04-11,139.679993,142.399994,136.589996,139.190002,139.190002,10945800
2023-04-12,141.899994,144.500000,139.320007,139.660004,139.660004,6993500
2023-04-13,141.089996,144.548004,140.550003,141.380005,141.380005,4832500
2023-04-14,140.000000,142.199997,138.309998,142.130005,142.130005,5472600
2023-04-17,142.130005,145.850006,141.830002,145.259995,145.259995,3970500
2023-04-18,147.529999,147.570007,142.169998,145.889999,145.889999,4021800
