Date,Open,High,Low,Close,Adj Close,Volume
2022-01-03,341.000000,344.000000,322.274994,332.010010,332.010010,2596200
2022-01-04,330.250000,330.510010,298.709991,315.529999,315.529999,5695700
2022-01-05,308.399994,315.339996,291.559998,296.869995,296.869995,4431400
2022-01-06,294.239990,306.559998,286.000000,297.089996,297.089996,3936900
2022-01-07,296.980011,307.575012,292.059998,299.679993,299.679993,2700600
2022-01-10,290.000000,303.089996,273.829987,302.730011,302.730011,5469400
2022-01-11,296.260010,308.549988,293.330994,301.269989,301.269989,3083400
2022-01-12,316.000000,316.000000,303.410004,307.140015,307.140015,3630500
2022-01-13,308.649994,308.989990,291.039001,291.760010,291.760010,3076800
2022-01-14,287.690002,297.380005,283.121002,289.589996,289.589996,2888200
2022-01-18,289.320007,296.970001,282.089996,287.679993,287.679993,3847400
2022-01-19,289.019989,298.109985,282.500000,282.559998,282.559998,2887700
2022-01-20,290.459991,297.500000,278.519989,279.269989,279.269989,2747300
2022-01-21,278.739990,282.950012,264.700012,267.559998,267.559998,4507200
2022-01-24,260.209991,281.570007,245.199997,277.500000,277.500000,7167300
2022-01-25,275.269989,278.489990,257.779999,263.429993,263.429993,4707200
2022-01-26,272.500000,276.739990,248.138000,253.100006,253.100006,5117500
2022-01-27,259.709991,262.000000,241.860001,244.720001,244.720001,4667400
2022-01-28,244.000000,254.139999,232.830002,253.520004,253.520004,4990000
2022-01-31,261.000000,276.170013,258.161011,275.899994,275.899994,3984400
2022-02-01,281.799988,286.850006,270.329987,283.760010,283.760010,3219500
2022-02-02,282.559998,282.799988,265.329987,268.279999,268.279999,2751200
2022-02-03,254.199997,266.000000,251.000000,256.260010,256.260010,3197700
2022-02-04,262.559998,283.000000,255.380005,275.720001,275.720001,4393400
2022-02-07,291.000000,304.459991,286.769989,293.190002,293.190002,8317100
2022-02-08,287.200012,298.500000,287.200012,293.510010,293.510010,2717300
2022-02-09,304.899994,308.200012,299.000000,307.940002,307.940002,2730800
2022-02-10,300.200012,329.489990,299.500000,311.109985,311.109985,6054400
